category,soc_code,title,employment,annual_median_wage,emp_change_pct,annual_openings,automation_risk,job_zone,entry_education,on_job_training
Claims Specialists & Telephone Claims Reps,43-9041.00,Insurance Claims and Policy Processing Clerks,214260.0,49230.0,-3.7,20.3,0.7932,2.0,High school diploma or equivalent,Moderate-term on-the-job training
Claims Specialists & Telephone Claims Reps,13-1031.00,"Claims Adjusters, Examiners, and Investigators",324230.0,78000.0,-5.1,21.1,0.7044,4.0,High school diploma or equivalent,Long-term on-the-job training
Claims Specialists & Telephone Claims Reps,13-2053.00,Insurance Underwriters,105420.0,81370.0,-2.6,8.2,0.6764,4.0,Bachelor's degree,Moderate-term on-the-job training
Claims Specialists & Telephone Claims Reps,13-2099.04,"Fraud Examiners, Investigators and Analysts",132130.0,81100.0,3.1,10.3,0.6176,4.0,Bachelor's degree,None
Customer Service Representatives,43-4151.00,Order Clerks,75200.0,46170.0,-17.2,8.0,0.7038,2.0,"Some college, no degree",Short-term on-the-job training
Customer Service Representatives,43-4051.00,Customer Service Representatives,2595750.0,44770.0,-5.5,341.7,0.5961,2.0,High school diploma or equivalent,Short-term on-the-job training
Customer Service Representatives,43-4171.00,Receptionists and Information Clerks,910180.0,38010.0,0.0,128.5,0.5544,2.0,High school diploma or equivalent,Short-term on-the-job training
Marketing & Communications,13-1161.00,Market Research Analysts and Marketing Specialists,899580.0,78760.0,6.7,87.2,0.5369,4.0,Bachelor's degree,None
Marketing & Communications,11-2032.00,Public Relations Managers,74850.0,146910.0,5.0,6.6,0.527,4.0,Bachelor's degree,None
Marketing & Communications,27-3099.00,"Media and Communication Workers, All Other",19590.0,73620.0,2.7,3.0,0.527,,High school diploma or equivalent,Short-term on-the-job training
Marketing & Communications,13-1161.01,Search Marketing Strategists,899580.0,78760.0,6.7,87.2,0.5156,4.0,Bachelor's degree,None
Marketing & Communications,11-2011.00,Advertising and Promotions Managers,21470.0,133660.0,-2.2,2.1,0.2977,4.0,Bachelor's degree,None
Marketing & Communications,11-2021.00,Marketing Managers,395240.0,166790.0,6.6,34.3,0.24,4.0,Bachelor's degree,None
Marketing & Communications,41-3011.00,Advertising Sales Agents,91700.0,64820.0,-6.4,9.3,0.2326,4.0,High school diploma or equivalent,Moderate-term on-the-job training
Marketing & Communications,27-3031.00,Public Relations Specialists,283380.0,74750.0,4.8,27.6,0.165,4.0,Bachelor's degree,None
Physical Damage Adjusters,13-2023.00,Appraisers and Assessors of Real Estate,,,,,0.7286,4.0,,
Physical Damage Adjusters,13-2022.00,Appraisers of Personal and Business Property,,,,,0.6826,4.0,,
Physical Damage Adjusters,13-1032.00,"Insurance Appraisers, Auto Damage",11560.0,78240.0,-8.2,0.5,0.6536,3.0,Postsecondary nondegree award,Moderate-term on-the-job training
